0.010000, 0.400000, 50
0.050000, 0.800000, 50
0.140000, 1.800000, 50
0.290000, 3.000000, 50
0.500000, 4.200000, 50
0.770000, 5.400000, 50
1.100000, 6.600000, 50
1.490000, 7.800000, 50
1.940000, 9.000000, 50
2.450000, 10.200000, 50
3.010000, 11.200000, 50
3.600000, 11.800000, 50
4.200000, 12.000000, 50
4.800000, 12.000000, 50
5.395556, 11.911129, 50
5.972226, 11.533387, 50
6.510008, 10.755646, 50
6.993347, 9.666775, 50
7.416686, 8.466775, 50
7.780024, 7.266775, 50
8.083363, 6.066775, 50
8.326702, 4.866775, 50
8.510040, 3.666775, 50
8.633379, 2.466775, 50
8.701162, 1.355646, 50
8.727831, 0.533387, 50
8.733387, 0.111129, 50
8.733387, 0.000000, 50
